@relation Perp_Sex_training_new

@attribute PD_CD numeric
@attribute PD_DESC {'WEAPONS, POSSESSION, ETC','ASSAULT 3','MISCHIEF,CRIMINAL,    UNCL 2ND','KIDNAPPING 2','BURGLARY,UNCLASSIFIED,UNKNOWN TIME','AGGRAVATED HARASSMENT 2','IMPAIRED DRIVING,ALCOHOL'}
@attribute KY_CD numeric
@attribute OFNS_DESC {'DANGEROUS WEAPONS','ASSAULT 3 & RELATED OFFENSES','CRIMINAL MISCHIEF & RELATED OF','KIDNAPPING & RELATED OFFENSES',BURGLARY,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','MOVING INFRACTIONS'}
@attribute LAW_CODE {'PL 2650101','PL 1200001','PL 145004A','PL 1352000','PL 1402000','PL 2402500',VTL119200A}
@attribute LAW_CAT_CD {M,F,I}
@attribute PERP_RACE {WHITE,BLACK,'WHITE HISPANIC'}
@attribute AGE_GROUP {25-44,18-24,45-64,<18,65+}
@attribute ARREST_BORO {B,K,Q,M,S}
@attribute PERP_SEX {M,F}

@data
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,K,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,'WHITE HISPANIC',18-24,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,<18,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,M,F
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',45-64,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',18-24,B,F
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,45-64,M,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',18-24,Q,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,18-24,B,F
185,'KIDNAPPING 2',124,'KIDNAPPING & RELATED OFFENSES','PL 1352000',F,'WHITE HISPANIC',25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,18-24,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',45-64,Q,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,45-64,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,WHITE,18-24,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',25-44,Q,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,18-24,M,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',18-24,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,45-64,Q,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',25-44,B,M
185,'KIDNAPPING 2',124,'KIDNAPPING & RELATED OFFENSES','PL 1352000',F,WHITE,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',<18,K,M
185,'KIDNAPPING 2',124,'KIDNAPPING & RELATED OFFENSES','PL 1352000',F,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,45-64,Q,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,<18,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',18-24,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,'WHITE HISPANIC',45-64,Q,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,Q,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',45-64,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,18-24,Q,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,K,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,K,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,45-64,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,B,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,BLACK,45-64,M,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,B,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',18-24,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,18-24,Q,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,18-24,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,45-64,B,F
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,WHITE,25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,65+,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',45-64,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,K,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,M,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,S,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,65+,Q,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,M,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,18-24,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',18-24,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,<18,Q,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,18-24,M,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,WHITE,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,Q,F
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,'WHITE HISPANIC',25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,18-24,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,45-64,S,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,Q,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,K,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,Q,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,K,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,'WHITE HISPANIC',25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,Q,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',45-64,M,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,<18,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,18-24,B,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,M,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,45-64,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,<18,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,18-24,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,Q,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',25-44,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,Q,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,WHITE,45-64,S,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,Q,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,45-64,S,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,18-24,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',18-24,Q,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,M,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,K,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',45-64,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,<18,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,<18,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',25-44,B,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,F
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,WHITE,45-64,Q,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',18-24,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,WHITE,18-24,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,K,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,K,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,18-24,B,M
185,'KIDNAPPING 2',124,'KIDNAPPING & RELATED OFFENSES','PL 1352000',F,WHITE,25-44,M,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',18-24,B,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',18-24,B,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,45-64,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',18-24,M,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,18-24,M,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,Q,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,45-64,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',18-24,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,'WHITE HISPANIC',25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
244,'BURGLARY,UNCLASSIFIED,UNKNOWN TIME',107,BURGLARY,'PL 1402000',F,BLACK,45-64,K,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,Q,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,WHITE,25-44,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',25-44,K,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,45-64,Q,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,18-24,M,F
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,BLACK,25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,WHITE,25-44,M,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',25-44,S,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,B,M
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,'WHITE HISPANIC',45-64,B,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,25-44,K,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,'WHITE HISPANIC',25-44,B,M
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,K,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,18-24,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,25-44,M,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,18-24,B,F
101,'ASSAULT 3',344,'ASSAULT 3 & RELATED OFFENSES','PL 1200001',M,BLACK,18-24,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',25-44,Q,F
185,'KIDNAPPING 2',124,'KIDNAPPING & RELATED OFFENSES','PL 1352000',F,BLACK,25-44,M,F
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,WHITE,45-64,K,F
269,'MISCHIEF,CRIMINAL,    UNCL 2ND',121,'CRIMINAL MISCHIEF & RELATED OF','PL 145004A',M,BLACK,25-44,B,M
639,'AGGRAVATED HARASSMENT 2',361,'OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV','PL 2402500',M,'WHITE HISPANIC',25-44,B,M
782,'WEAPONS, POSSESSION, ETC',236,'DANGEROUS WEAPONS','PL 2650101',M,BLACK,25-44,M,M
