PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,PERP_SEX,PERP_RACE,AGE_GROUP,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,25-44,1010679,249854,40.85243516,-73.90446806
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,25-44,1011778,261901,40.88549712,-73.900446
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,F,BLACK,18-24,1034600,238253,40.82048983,-73.81808765
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,F,BLACK,25-44,1014334,253189,40.86157703,-73.89124131
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,F,WHITE,25-44,1018373,244695,40.83824884,-73.8766827
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,M,M,BLACK,25-44,1015461,237096,40.81740254,-73.88724185
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,F,WHITE HISPANIC,18-24,1007115,237715,40.81912707,-73.91739229
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,F,BLACK,18-24,1008383,250881,40.85526054,-73.91276375
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,25-44,1011811,246833,40.84413995,-73.90038862
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,M,BLACK,<18,1025077,265594,40.89558172,-73.85232751
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1003608,241656,40.82995237,-73.93005138
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,WHITE,18-24,1032091,241976,40.83072233,-73.82712606
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,F,BLACK,25-44,1011751,250275,40.8535874,-73.90059136
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE,25-44,1008691,238872,40.82229849,-73.91169413
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,M,WHITE HISPANIC,<18,1006537,244511,40.83778162,-73.91945797
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,25-44,1029048,237653,40.8188729,-73.8381509
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,BLACK,25-44,1008383,250881,40.85526054,-73.91276375
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,BLACK,18-24,1006952,246007,40.84188665,-73.91795313
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,M,WHITE,25-44,1021623,240919,40.82787167,-73.86495842
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1025027,246838,40.84410253,-73.8526225
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,BLACK,25-44,1011811,246833,40.84413995,-73.90038862
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,BLACK,18-24,1027133,248908,40.84977409,-73.84499763
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1021639,250223,40.85340834,-73.86484874
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,25-44,1033395,238306,40.82064208,-73.8224409
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,F,BLACK,45-64,1033597,255731,40.86846738,-73.82158285
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,25-44,1010337,243009,40.83364866,-73.90573092
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,K,M,WHITE HISPANIC,25-44,1014938,252245,40.85898396,-73.88906204
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,WHITE,45-64,1011811,246833,40.84413995,-73.90038862
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE,25-44,1010914,260940,40.88286213,-73.90357449
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,18-24,1006537,244511,40.83778162,-73.91945797
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,K,M,BLACK,25-44,1025621,268476,40.90348935,-73.85034202
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE,45-64,1007567,238218,40.82050648,-73.9157575
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,18-24,1025621,268476,40.90348935,-73.85034202
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,B,M,BLACK,45-64,1010774,235171,40.81213427,-73.90418271
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,WHITE,25-44,1014859,238887,40.82232044,-73.8894086
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,25-44,1016531,245903,40.84157138,-73.88333377
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,WHITE,25-44,1013879,239551,40.82414627,-73.89294648
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,Q,M,BLACK,45-64,1025882,269298,40.90574424,-73.84939274
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,Q,M,BLACK,18-24,1009153,248205,40.84791358,-73.90999024
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,F,WHITE HISPANIC,25-44,1015308,244373,40.83737636,-73.88776093
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,K,M,BLACK,25-44,1010447,252191,40.85885021,-73.90529754
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,BLACK,25-44,1022376,258467,40.87603245,-73.86213776
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,<18,1010337,243009,40.83364866,-73.90573092
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,45-64,1020316,239179,40.8231013,-73.86969046
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,45-64,1029799,258001,40.87471824,-73.8352994
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,BLACK,25-44,1026382,237309,40.81794183,-73.84778502
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,BLACK,<18,1006537,244511,40.83778162,-73.91945797
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,WHITE,25-44,1021623,240919,40.82787167,-73.86495842
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,BLACK,25-44,1011811,246833,40.84413995,-73.90038862
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,F,WHITE HISPANIC,18-24,1015404,236643,40.81615939,-73.88744989
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,F,BLACK,18-24,1020219,239110,40.82291231,-73.8700413
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,S,M,WHITE HISPANIC,18-24,1008691,238872,40.82229849,-73.91169413
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,BLACK,25-44,1026424,251705,40.85745442,-73.84754276
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,BLACK,45-64,1008691,238872,40.82229849,-73.91169413
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE HISPANIC,25-44,1011927,251675,40.85742943,-73.89994937
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,BLACK,25-44,1005041,234533,40.81039849,-73.92489531
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,Q,M,BLACK,25-44,1009374,235406,40.81278338,-73.90923937
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,25-44,1009354,239590,40.82426733,-73.90929597
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1011751,250275,40.8535874,-73.90059136
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,45-64,1017440,256046,40.86940749,-73.87999831
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,M,WHITE,25-44,1032091,241976,40.83072233,-73.82712606
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,WHITE,25-44,1015121,242644,40.83263141,-73.88844468
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE HISPANIC,18-24,1023886,255767,40.86861513,-73.85669357
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,<18,1020183,239283,40.82338729,-73.87017045
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,B,M,WHITE HISPANIC,45-64,1009781,246407,40.8429768,-73.9077272
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,WHITE,45-64,1013013,237638,40.81889849,-73.8960837
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE,25-44,1009226,257932,40.87461104,-73.90969014
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,B,F,BLACK,45-64,1013174,241048,40.82825744,-73.89548732
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,BLACK,25-44,1005041,234533,40.81039849,-73.92489531
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,BLACK,18-24,1012901,254530,40.86526243,-73.89641617
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,18-24,1009226,257932,40.87461104,-73.90969014
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,F,WHITE,25-44,1011715,235852,40.81400055,-73.90078054
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1025027,246838,40.84410253,-73.8526225
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,WHITE HISPANIC,25-44,1006537,244511,40.83778162,-73.91945797
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,<18,1010984,261034,40.88311992,-73.90332097
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,18-24,1020860,251010,40.85557168,-73.86766034
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,BLACK,18-24,1010208,240350,40.82635085,-73.90620737
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,25-44,1011811,246833,40.84413995,-73.90038862
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,BLACK,25-44,1030896,263028,40.88851004,-73.83129773
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,M,WHITE HISPANIC,45-64,1005956,236414,40.81555911,-73.92158385
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,18-24,1020219,239110,40.82291231,-73.8700413
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,M,BLACK,45-64,1008393,241797,40.8303276,-73.9127603
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,B,M,WHITE,25-44,1004626,235172,40.81215334,-73.92639253
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,S,M,WHITE,25-44,1014334,253189,40.86157703,-73.89124131
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,M,BLACK,25-44,1010496,247755,40.84667457,-73.90513777
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,F,WHITE,25-44,1021623,240919,40.82787167,-73.86495842
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,WHITE HISPANIC,45-64,1011949,240741,40.82741874,-73.89991501
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,K,M,BLACK,<18,1015900,247717,40.84655255,-73.88560572
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,K,M,WHITE,25-44,1011612,253618,40.86276336,-73.90108016
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,18-24,1009562,254560,40.86535498,-73.90848793
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE HISPANIC,<18,1006537,244511,40.83778162,-73.91945797
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,BLACK,25-44,1009784,240404,40.8265003,-73.90773921
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,18-24,1007567,238218,40.82050648,-73.9157575
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,M,M,WHITE,45-64,1004749,240880,40.8278199,-73.92593076
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,WHITE,25-44,1010565,252137,40.85870165,-73.90487117
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,M,WHITE HISPANIC,25-44,1009945,244103,40.83665252,-73.90714329
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,25-44,1011811,246833,40.84413995,-73.90038862
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,BLACK,25-44,1007772,266051,40.89689914,-73.91491917
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,F,WHITE,25-44,1030454,247710,40.84646918,-73.83300191
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,WHITE HISPANIC,25-44,1008383,250881,40.85526054,-73.91276375
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,WHITE,18-24,1027430,251105,40.85580274,-73.84390995
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,25-44,1017440,256046,40.86940749,-73.87999831
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,BLACK,25-44,1020183,239283,40.82338729,-73.87017045
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,WHITE HISPANIC,45-64,1010968,238733,40.82191038,-73.9034677
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,F,BLACK,18-24,1021623,240919,40.82787167,-73.86495842
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,25-44,1021623,240919,40.82787167,-73.86495842
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,BLACK,<18,1022876,257078,40.8722179,-73.86033777
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE HISPANIC,25-44,1022875,243861,40.83594122,-73.86041753
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,BLACK,18-24,1032036,261237,40.88358821,-73.8271875
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE,<18,1007772,266051,40.89689914,-73.91491917
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,Q,M,WHITE HISPANIC,25-44,1017934,232221,40.80401295,-73.87833183
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,18-24,1017978,244925,40.83888164,-73.87810905
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,BLACK,25-44,1009909,241902,40.83061152,-73.90728181
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,F,BLACK,25-44,1015121,242644,40.83263141,-73.88844468
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,M,M,WHITE HISPANIC,25-44,1015904,243744,40.83564782,-73.88561001
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,WHITE HISPANIC,45-64,1011607,236142,40.81479686,-73.90116952
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,25-44,1012517,263792,40.89068498,-73.89776541
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,18-24,1026387,262634,40.88745131,-73.84760779
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,K,M,WHITE HISPANIC,45-64,1029529,239356,40.82354469,-73.83640161
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,BLACK,<18,1014724,237889,40.81958168,-73.88990089
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,B,F,BLACK,18-24,1032140,242004,40.83079891,-73.8269488
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,M,WHITE,25-44,1026480,262584,40.88731363,-73.84727176
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,F,BLACK,25-44,1005041,234533,40.81039849,-73.92489531
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,BLACK,25-44,1022876,257078,40.8722179,-73.86033777
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,Q,M,WHITE,25-44,1008846,245939,40.84169493,-73.91110819
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,F,BLACK,18-24,1021629,238149,40.82026878,-73.86495217
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,M,M,WHITE,25-44,1015353,250999,40.85556261,-73.88756757
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,BLACK,25-44,1006537,244511,40.83778162,-73.91945797
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,BLACK,18-24,1024480,264465,40.89248572,-73.85449368
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,18-24,1011607,236142,40.81479686,-73.90116952
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,S,F,WHITE,25-44,1015109,251170,40.85603281,-73.88844881
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,M,WHITE,18-24,1029799,258001,40.87471824,-73.8352994
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,K,M,BLACK,45-64,1026486,262591,40.88733282,-73.84725001
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,BLACK,18-24,1012605,246785,40.84400568,-73.89751909
244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,K,M,BLACK,45-64,1008691,238872,40.82229849,-73.91169413
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,Q,M,BLACK,25-44,1015252,236829,40.81667044,-73.88799816
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,BLACK,25-44,1011811,246833,40.84413995,-73.90038862
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE HISPANIC,18-24,1010679,249854,40.85243516,-73.90446806
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE,25-44,1011526,257979,40.87473324,-73.90137333
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,S,M,BLACK,18-24,1014938,252245,40.85898396,-73.88906204
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,25-44,1005041,234533,40.81039849,-73.92489531
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,B,M,BLACK,25-44,1011429,253871,40.86345833,-73.90174073
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,M,WHITE HISPANIC,<18,1009586,249932,40.85265245,-73.90841865
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,BLACK,25-44,1013526,236951,40.81701118,-73.89423328
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,BLACK,18-24,1006537,244511,40.83778162,-73.91945797
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,M,WHITE,25-44,1009692,240099,40.82566342,-73.90807279
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE HISPANIC,45-64,1024288,243693,40.83547381,-73.85531221
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,F,WHITE,25-44,1013086,236614,40.81608766,-73.89582435
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,M,WHITE,45-64,1010169,244577,40.83795286,-73.90633196
639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,B,M,WHITE HISPANIC,45-64,1005041,234533,40.81039849,-73.92489531
101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,F,BLACK,<18,1005041,234533,40.81039849,-73.92489531
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,BLACK,25-44,1015924,244102,40.83663036,-73.88553605
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,M,WHITE,25-44,1032091,241976,40.83072233,-73.82712606
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,18-24,1013373,261919,40.88554141,-73.89467758
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,BLACK,25-44,1005041,234533,40.81039849,-73.92489531
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,M,M,BLACK,25-44,1014516,247209,40.8451631,-73.89061034
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE,18-24,1012228,258963,40.87743181,-73.89883084
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,18-24,1020183,239283,40.82338729,-73.87017045
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,Q,M,WHITE,<18,1013619,238885,40.82231916,-73.89388882
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,M,WHITE,18-24,1032091,241976,40.83072233,-73.82712606
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,BLACK,25-44,1015823,245900,40.8415657,-73.88589258
185,KIDNAPPING 2,124,KIDNAPPING & RELATED OFFENSES,PL 1352000,F,Q,F,BLACK,25-44,1013086,236614,40.81608766,-73.89582435
269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004A,M,K,M,WHITE,25-44,1009769,236748,40.81646566,-73.90780731
782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,M,WHITE HISPANIC,18-24,1027295,251236,40.85616296,-73.84439712
